Image	Optimal	(meta) top alg	Algs	Image	(meta) top alg	Algs	Recognition Notes	Best Alg Notes	Full Case Name	Parents
Kites/Halves										
	5	0,-1/-2,1/-4,-1/-2,1/-3,0/-1,0	0,-1/-2,1/-4,-1/-2,1/-3,0/-1,0 0,-1/-2,1/-4,-1/-3,0/-2,-1/-1,0		samecase	samecase	Bad kite/kite; not the 1-slicer.	Preserve kite on bottom, send single corner to bottom to form gem/gem.	Right Kite / Left Kite	Gem / Gem; Shell / Shell
	1	1,0/-1,0	1,0/-1,0		samecase	samecase	Good kite/kite; it's a 1-slicer :)	Preserve everything :)	Right Kite / Right Kite	
	3	1,0/-1,-1/0,-3/0,1	1,0/-1,-1/0,-3/0,1		samecase	samecase	Good kite/cut; aligning kite with bird breaks squareshape.	Preserve kite on top, pair with whale from bottom to get tent/tent.	Right Kite / Left Cut	Left Tent / Left Tent; Left Thumb / Left Thumb
	6	1,0/0,-3/-3,0/2,-1/-2,1/3,0/-1,0	1,0/0,-3/-3,0/2,-1/-2,1/3,0/-1,0		samecase	samecase	Bad kite/cut; aligning kite with bird preserves squareshape.	Solve CO into 1e/1e.	Right Kite / Right Cut	1E / 1E; 3E / 3E; 1C / 1C; 3C / 3C; Right Axe / Right Axe; Left Spill / Left Spill; Right Bird / Right Bird; Right Scottie / Right Scottie
	4	1,0/2,-1/-2,1/-3,6/-1,0	1,0/2,-1/-2,1/-3,6/-1,0 -5,6/-1,2/-2,1/6,-3/-1,0 -5,6/5,-4/1,-2/0,3/-1,0		1,0/2,-1/-2,1/3,0/-1,0	1,0/2,-1/-2,1/3,0/-1,0		Send tent on top to pair with shell on bottom to form axe/gem.	Right Kite / Tree	Right Axe / Gem; Left Spill / Left Axe
	1	0,-1/0,1	0,-1/0,1		samecase	samecase	Good kite/kite; it's a 1-slicer :)	Preserve everything :)	Left Kite / Left Kite	
	5	1,0/0,3/-4,-1/-2,1/-3,0/-1,0	1,0/0,3/-4,-1/-2,1/-3,0/-1,0 1,0/0,3/-4,-1/-3,0/-2,1/-1,0 1,0/2,-1/4,1/3,0/2,-1/0,1 1,0/2,-1/4,1/2,-1/3,0/0,1		samecase	samecase	Bad kite/kite; not the 1-slicer.	Preserve kite on bottom, send single corner to bottom to form gem/gem.	Left Kite / Right Kite	Gem / Gem; Shell / Shell
	6	0,-1/1,-2/-3,0/2,-1/-2,1/3,0/-1,0	0,-1/1,-2/-3,0/2,-1/-2,1/3,0/-1,0		samecase	samecase	Bad kite/cut; aligning kite with bird preserves squareshape.	Solve CO into 1e/1e.	Left Kite / Left Cut	1E / 1E; 3E / 3E; 1C / 1C; 3C / 3C; Left Axe / Left Axe; Right Spill / Right Spill; Left Bird / Left Bird; Left Scottie / Left Scottie
	3	0,-1/1,1/0,3/-1,0	0,-1/1,1/0,3/-1,0		samecase	samecase	Good kite/cut; aligning kite with bird breaks squareshape.	Preserve kite on top, pair with whale from bottom to get tent/tent.	Left Kite / Right Cut	Right Tent / Right Tent; Right Thumb / Right Thumb
	4	0,-1/-2,1/2,-1/3,6/0,1	0,-1/-2,1/2,-1/3,6/0,1 6,5/1,-2/2,-1/6,3/0,1 6,5/-5,4/-1,2/0,-3/0,1 6,5/-5,4/-3,0/2,-1/0,1		0,-1/-2,1/2,-1/-3,0/0,1	0,-1/-2,1/2,-1/-3,0/0,1		Send tent on top to pair with shell on bottom to form axe/gem.	Left Kite / Tree	Left Axe / Gem; Right Spill / Right Axe
Awkwards / Zero's										
	6	0,-1/3,0/-3,0/-2,-2/2,-1/-3,0/0,1	0,-1/3,0/-3,0/-2,-2/2,-1/-3,0/0,1 -3,-1/-2,4/3,0/-4,-1/4,1/-3,0/-1,0		samecase	samecase	Bad cut/kite; aligning bird with kite preserves squareshape.	Preserve kite on bottom, send isolated corner to form bad spill/spill.	Left Cut / Left Kite	Right Spill / Right Spill; Left Bird / Left Bird; 1E / 1E; 3E / 3E; 1C / 1C; 3C / 3C; Left Axe / Left Axe; Left Scottie / Left Scottie
	3	1,0/-1,-1/-3,0/0,1	1,0/-1,-1/-3,0/0,1		samecase	samecase	Good cut/kite; aligning bird with kite breaks squareshape.	Preserve kite on bottom, send whale to form tent/tent.	Left Cut / Right Kite	Left Tent / Left Tent; Left Thumb / Left Thumb
	3	0,-1/-2,4/-1,-1/0,1	0,-1/-2,4/-1,-1/0,1 0,-1/-3,3/1,1/-1,0		samecase	samecase	Good cut/cut; aligning birds preserves squareshape.	Solve CO into M2.	Left Cut / Left Cut	Eopp / Eopp; Copp / Copp; Left Pinwheel / Left Pinwheel
	6	1,0/-4,2/-3,0/4,1/3,0/2,-1/0,1	1,0/-4,2/-3,0/4,1/3,0/2,-1/0,1 -2,0/0,3/-1,-4/1,4/3,0/-4,-1/0,1 -2,0/0,3/3,0/...		samecase	samecase	Bad cut/cut; aligning birds breaks squareshape.	Preserve bird on bottom, send whale from top to form matching axe/axe; doing CO into 3E/3E is also decent.	Left Cut / Right Cut	Left Axe / Left Axe; 3E / 3E; 3C / 3C; Squid / Squid; Hazard / Hazard; Right Scottie / Right Scottie
	4	0,-1/1,4/3,0/2,5/0,1	0,-1/1,4/3,0/2,5/0,1 -2,-3/0,3/-1,-1/3,0/3,0/0,1 -2,-3/0,3/2,-1/-3,0/-3,0/0,1 -2,-3/-1,2/1,1/3,0/2,-1/0,1 3,-4/1,-2/-3,0/3,0/2,-1/0,1		0,-1/1,4/3,0/-4,-1/0,1	0,-1/1,4/3,0/-4,-1/0,1 4,3/3,0/-1,-1/-3,0/-3,0/0,1 -3,2/-3,0/3,0/-3,0/-2,1/-1,0 -2,3/-4,-1/-3,0/-2,1/-4,-1/0,1		Preserve whale on bottom and pair with bird from top to form spill/axe.	Left Cut / Tree	Right Spill / Right Axe
	3	0,-1/1,1/3,0/-1,0	0,-1/1,1/3,0/-1,0		samecase	samecase	Good cut/kite; aligning bird with kite breaks squareshape.	Preserve kite on bottom, send whale to form tent/tent.	Right Cut / Left Kite	Right Tent / Right Tent; Right Thumb / Right Thumb
	6	1,0/-3,0/3,0/2,2/-2,1/3,0/-1,0	1,0/-3,0/3,0/2,2/-2,1/3,0/-1,0 4,0/-3,3/3,0/-4,-1/4,1/-3,0/-1,0		samecase	samecase	Bad cut/kite; aligning bird with kite preserves squareshape.	Preserve kite on bottom, send isolated corner to form bad spill/spill.	Right Cut / Right Kite	Left Spill / Left Spill; Right Bird / Right Bird; 1E / 1E; 3E / 3E; 1C / 1C; 3C / 3C; Right Axe / Right Axe; Right Scottie / Right Scottie
	6	0,-1/4,-2/3,0/-4,-1/-2,1/-3,0/-1,0	0,-1/4,-2/3,0/-4,-1/-2,1/-3,0/-1,0 3,-1/0,-3/1,4/-1,-4/-3,0/4,1/-1,0		samecase	samecase	Bad cut/cut; aligning birds breaks squareshape.	Preserve bird on bottom, send whale from top to form matching axe/axe; doing CO into 3E/3E is also decent.	Right Cut / Left Cut	Right Axe / Right Axe; 3E / 3E; 3C / 3C; Squid / Squid; Hazard / Hazard; Left Scottie / Left Scottie
	3	1,0/-3,3/-1,-1/0,1	1,0/-3,3/-1,-1/0,1		samecase	samecase	Good cut/cut; aligning birds preserves squareshape.	Solve CO into M2.	Right Cut / Right Cut	Eopp / Eopp; Copp / Copp; Right Pinwheel / Right Pinwheel
	4	1,0/-1,-4/-3,0/-2,-5/-1,0	1,0/-1,-4/-3,0/-2,-5/-1,0 3,2/1,-2/-1,-1/-2,1/-3,0/-1,0 3,2/1,-2/-1,-1/-3,0/-2,1/-1,0 3,2/0,-3/1,1/-3,0/-3,0/-1,0 -2,3/-1,2/3,0/-2,1/-3,0/-1,0		1,0/-1,-4/-3,0/4,1/-1,0	1,0/-1,-4/-3,0/4,1/-1,0 -3,-4/-3,0/1,1/3,0/3,0/-1,0 -3,-4/-3,0/-2,1/-3,0/-3,0/-1,0 4,-3/3,0/-3,0/3,0/2,-1/0,1 3,-4/4,1/3,0/2,-1/4,1/-1,0		Preserve whale on bottom and pair with bird from top to form spill/axe.	Right Cut / Tree	Left Spill / Left Axe
T's/Trees										
	4	1,0/0,3/-1,2/3,6/0,1	1,0/0,3/-1,2/3,6/0,1 1,0/0,3/-3,0/5,-4/0,1 -5,0/0,-3/3,0/5,2/0,1		1,0/3,0/-3,0/2,-1/0,1	1,0/3,0/-3,0/2,-1/0,1 1,0/3,0/-1,2/0,-3/0,1 -5,0/-3,0/3,0/-4,-1/0,1		Preserve D-layer shell (but not kite) in DL, swap tent on top with edge on bottom to form axe/gem.	Tree / Left Kite	Left Axe / Gem; Right Axe / Right Spill
	4	0,-1/0,-3/1,-2/-3,6/-1,0	0,-1/0,-3/1,-2/-3,6/-1,0 0,-1/0,-3/3,0/-5,4/-1,0 0,-1/0,-3/4,1/6,3/-1,0 6,-1/0,3/-3,0/-5,-2/-1,0		0,-1/-3,0/3,0/-2,1/-1,0	0,-1/-3,0/3,0/-2,1/-1,0 0,-1/-3,0/4,1/-3,0/-1,0 0,-1/-3,0/1,-2/0,3/-1,0		Preserve D-layer shell (but not kite) in DL, swap tent on top with edge on bottom to form axe/gem.	Tree / Right Kite	Right Axe / Gem; Left Axe / Left Spill
	4	0,-1/-5,-2/3,0/-4,-1/0,1	0,-1/-5,-2/3,0/-4,-1/0,1		0,-1/4,1/0,3/-1,-4/0,1	0,-1/4,1/0,3/-1,-4/0,1		Preserve D-layer bird in DL, pair whale from tree with same-color bird.	Tree / Left Cut	Right Spill / Right Axe
	4	1,0/5,2/-3,0/4,1/-1,0	1,0/5,2/-3,0/4,1/-1,0		1,0/-4,-1/0,-3/1,4/-1,0	1,0/-4,-1/0,-3/1,4/-1,0		Preserve D-layer bird in DL, pair whale from tree with same-color bird.	Tree / Right Cut	Left Spill / Left Axe
	4	0,-1/-2,1/-1,-1/3,6/0,1	0,-1/-2,1/-1,-1/3,6/0,1 1,0/2,-1/1,1/-3,6/-1,0 -5,6/-1,2/1,1/6,-3/-1,0		0,-1/-2,1/-1,-1/-3,0/0,1	0,-1/-2,1/-1,-1/-3,0/0,1 1,0/2,-1/1,1/3,0/-1,0 -5,6/-1,2/1,1/0,3/-1,0	"Opposite" trees; trees are of different colors.	Hold D-layer shell in DL, and hold same-color corners in UL ("anti-CO") to go to good cut/kite; I prefer misaligning D-layer.	Tree / Tree	Left Cut / Right Kite; Right Cut / Left Kite
	3	1,0/-3,0/-1,-1/0,1	1,0/-3,0/-1,-1/0,1 0,-1/-3,0/1,1/-1,0		1,0/0,3/-1,-1/0,1	1,0/0,3/-1,-1/0,1 0,-1/0,3/1,1/-1,0	"Matching" trees; trees are the same color.	Solve CO into M2.	Same Tree / Tree	Eopp / Eopp